"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","41.05","90.22","125.00","139.29","186.94","7010000.00","137.28","146.25","181.43","180.56","229.44","110.44","127.72","160.00","3091667.00","90.22","200.00","3425000.00","54.83","58.13","104.50"
"BITR Change","-1.00","-1.28","2.69","0.00","-1.95","-90000.00","-5.05","15.62","10.00","9.45","-0.56","0.13","0.97","0.00","12500.00","-1.28","2.86","31250.00","3.50","2.63","3.50"
"MTD","43.13","89.31","125.06","139.47","168.12","7150000.00","142.75","126.92","156.12","159.33","188.49","110.91","123.61","160.00","3105357.14","89.31","193.57","3416964.29","50.98","56.71","102.25"
"MTD Change","-0.35","0.15","-0.01","-0.03","3.14","-23333.33","-0.91","3.22","4.22","3.54","6.83","-0.08","0.68","0.00","-2281.69","0.15","1.07","1339.29","0.64","0.24","0.38"
"Dec-24","43.00","88.00","130.00","140.00","167.50","7.00","150.00","141.09","176.05","160.00","212.90","113.00","135.00","175.00","2.88","88.00","199.40","3.40","54.42","56.00","103.87"
"Jan-25","48.30","82.46","132.26","146.76","154.76","7.00","144.72","135.56","156.68","172.29","188.43","120.71","176.83","198.59","2.66","82.46","198.31","3.30","53.50","54.00","104.00"
"Feb-25","51.29","81.59","126.70","143.10","146.43","7.40","140.06","134.93","144.19","164.96","176.31","124.02","174.54","195.87","2.62","81.59","198.31","3.40","53.50","54.00","102.50"
"Mar-25","52.21","80.71","121.14","139.43","134.52","7.55","135.39","134.30","131.70","157.62","174.29","130.22","172.25","193.14","2.58","80.71","199.58","3.50","53.50","54.00","101.00"
"Apr-25","52.90","77.21","120.52","138.43","129.52","7.50","129.79","131.46","131.70","150.29","176.99","120.92","171.10","190.42","2.50","77.21","200.84","3.40","54.50","53.00","103.00"
"Q1-25","50.60","81.59","126.70","143.10","145.24","7.32","140.06","134.93","144.19","164.96","179.68","124.98","174.54","195.87","2.62","81.59","198.73","3.40","51.00","54.00","102.50"
"Q2-25","52.44","73.43","119.28","137.09","127.62","7.45","126.05","130.83","127.16","142.96","173.62","119.88","169.95","187.70","2.50","73.43","200.84","3.30","54.50","53.00","103.00"
"Q3-25","49.22","65.56","115.57","133.42","114.76","6.95","123.72","121.37","118.07","139.30","152.09","116.99","169.50","186.34","2.48","65.56","183.12","3.20","56.50","57.00","105.00"
"Cal25","11.50","74.30","10.11","21.00","27.10","27.89","14.25","20.27","28.69","10.50","12.75","29.17","37.25","35.25","2.56","12.75","23.06","3.30","55.25","57.25","105.50"
"Cal26","11.30","72.84","10.00","20.75","24.90","27.59","14.20","19.20","27.40","10.00","12.30","29.00","36.50","34.75","2.56","12.50","22.95","3.25","57.50","59.75","107.50"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
