"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG3"
"BITR","45.17","75.45","97.46","129.64","118.75","8327778.00","108.94","199.25","153.33","185.00","234.44","157.44","191.56","204.21","2891667.00","75.45","280.00","3793750.00","94.71","167.43"
"BITR Change","-0.08","4.77","0.94","-1.79","-0.94","-16666.00","1.86","-2.50","-3.34","1.39","12.22","2.75","-0.32","-6.43","50000.00","4.77","10.43","6250.00","-0.14","-1.00"
"MTD","47.34","67.19","98.52","143.05","117.96","8257291.56","98.43","176.27","147.34","183.09","164.66","156.20","167.01","213.01","2870312.63","67.19","243.99","3730915.19","98.78","166.97"
"MTD Change","-0.30","0.84","-0.25","-1.92","0.18","11259.92","1.37","3.46","1.09","0.17","9.10","-0.02","3.80","-0.86","-520.80","0.84","4.40","8529.97","-0.57","0.14"
"Aug-23","46.75","70.00","98.00","138.50","120.50","8.25","101.00","182.50","148.75","175.00","183.00","156.69","175.00","211.00","2.80","70.00","251.00","3.75","97.49","167.12"
"Sep-23","50.75","85.50","117.00","132.50","145.00","8.75","100.00","201.00","145.00","155.00","250.00","165.00","175.00","225.00","2.40","85.50","247.50","3.75","102.25","177.00"
"Oct-23","58.50","96.50","135.00","151.00","161.50","9.45","120.00","194.00","146.00","140.00","252.00","166.00","185.00","242.00","2.24","96.50","255.00","3.70","104.00","176.00"
"Nov-23","62.50","99.00","139.00","159.00","168.00","9.70","140.00","195.00","149.00","150.00","261.00","172.00","192.50","250.00","2.32","99.00","260.00","3.70","101.00","174.00"
"Dec-23","65.75","101.50","150.50","164.00","171.50","10.10","160.00","196.00","152.00","160.00","297.00","173.50","200.00","252.00","2.40","101.50","271.00","3.75","98.00","172.00"
"Q4-23","62.25","99.00","141.50","158.00","167.00","9.75","140.00","195.00","149.00","150.00","270.00","170.50","192.50","248.00","2.32","99.00","262.00","3.72","101.00","174.00"
"Q1-24","58.17","90.89","134.93","137.15","155.57","9.15","143.35","171.51","122.88","115.27","169.90","158.15","174.71","193.63","2.26","90.89","214.77","3.50","85.00","134.00"
"Q2-24","12.50","14.30","10.30","21.50","30.75","28.89","15.50","26.30","27.80","7.00","12.75","38.50","42.30","38.50","27.80","14.30","27.50","36.11","69.00","125.00"
"Cal24","13.35","15.46","10.50","22.00","32.48","31.25","15.50","26.30","28.77","7.31","12.85","40.20","42.50","39.00","28.00","15.46","27.75","36.11","72.50","126.00"
"Cal25","12.55","14.40","10.25","21.50","30.85","29.07","14.80","25.00","27.75","7.00","12.50","36.40","42.25","37.25","27.00","14.40","27.35","33.89","65.75","106.00"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
