"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","67.58","144.45","185.00","197.14","279.69","9755556.00","218.89","148.06","155.36","171.67","203.06","209.38","207.00","264.29","4283333.00","144.45","292.86","4631250.00","58.57","63.20","105.00"
"BITR Change","-1.88","1.63","1.87","-9.29","-9.69","-238888.00","-0.94","13.62","-1.07","24.67","8.28","12.50","1.87","-0.71","-16667.00","1.63","11.43","62500.00","-18.29","-5.00","-6.71"
"MTD","65.02","138.89","182.07","211.10","276.59","9346759.17","180.90","129.43","160.84","686131.00","202.20","192.76","199.76","246.00","4437615.67","138.89","264.85","4768229.17","110.30","180.39","173.33"
"MTD Change","0.70","0.95","0.66","-1.86","1.59","105648.17","7.69","2.36","-0.99","-5511.90","-0.66","2.07","1.26","3.73","-29189.83","0.95","4.46","-33645.83","-8.52","0.21","-13.00"
"Jan-24","65.75","138.50","181.25","205.00","256.42","9.30","185.00","150.00","165.00","170.00","215.00","210.50","198.00","240.00","53.00","138.50","280.82","4.75","86.98","82.50","142.47"
"Feb-24","63.00","118.00","178.00","183.45","207.50","8.80","165.00","177.00","164.00","160.00","250.00","230.00","193.00","227.50","49.00","118.00","295.00","4.60","61.00","70.00","125.00"
"Mar-24","61.00","111.00","169.00","171.50","190.00","8.45","155.00","178.00","153.00","150.00","245.00","220.00","190.00","215.00","47.00","111.00","285.00","4.45","64.00","75.00","125.00"
"Apr-24","60.50","107.00","163.00","154.75","183.00","8.30","145.00","183.00","145.00","145.00","215.00","210.00","188.00","210.75","37.00","107.00","275.00","4.30","67.00","78.00","116.00"
"May-24","60.00","99.00","158.00","151.50","168.00","8.25","140.00","181.00","142.00","140.00","210.00","205.00","187.00","209.50","34.50","99.00","270.00","4.30","67.00","77.00","116.00"
"Q1-24","63.25","122.50","176.08","186.65","217.97","8.85","168.33","168.33","160.67","160.00","236.67","220.17","193.67","227.50","49.67","122.50","286.94","4.60","70.66","75.83","130.82"
"Q2-24","60.00","101.00","158.00","151.42","170.00","8.25","140.92","181.00","142.00","140.00","210.00","205.00","187.00","209.42","35.00","101.00","270.00","4.30","67.00","76.67","116.00"
"Q3-24","56.00","88.50","144.33","147.00","150.00","7.70","131.00","172.00","134.50","129.00","185.00","180.00","172.33","209.50","31.00","88.50","250.00","4.00","69.50","75.00","120.00"
"Cal25","13.35","88.87","10.60","22.50","31.20","31.48","14.50","25.75","27.75","9.00","13.25","38.00","40.50","37.25","32.00","15.25","27.70","3.75","72.00","70.00","118.75"
"Cal26","12.95","82.17","10.10","22.00","30.60","30.37","14.30","24.75","26.80","8.50","12.75","37.00","40.00","37.00","32.00","14.10","27.10","3.35","72.00","70.00","118.75"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
