"","270000 ME Gulf to China","130000 West Africa to Continent","80000 North Sea to Cont","80000 Kuwait to Singapore","70000 USGC to Med","270000 USGC to China","80000 Cross Med","37000 Continent to USAC","38000 U.S.Gulf to Continent","38000 ARA to UK-Continent","30000 Algeria to Euromed","55000 ME Gulf to Japan","35000 West Coast India to Far East","35000 Singapore to Australia","80000 Mediterranean to Japan","40000 S Korea to Singapore","35000 Middle East Gulf to East Africa","90000 Middle East Gulf to UK-Continent","44000 ME Gulf to Japan"," 44000 USG to Continent","44000 USG to Japan"
"","TD3c","TD20","TD7","TD8","TD25","TD22","TD19","TC2","TC14","TC23","TC6","TC5","TC12","TC7","TC15","TC11","TC17","TC20","LPG1","LPG2","LPG3"
"BITR","44.40","82.22","119.58","145.36","131.11","7270000.00","111.22","137.31","153.57","155.06","138.73","137.81","147.88","185.07","2893844.00","82.22","205.00","3978503.00","64.00","67.00","118.83"
"BITR Change","-0.30","-0.14","-0.62","0.00","-1.25","-30000.00","-2.28","1.57","-0.72","-0.55","-13.05","-0.94","-1.18","-3.29","-49688.00","-0.14","0.36","-6057.00","-0.08","0.00","0.17"
"MTD","50.45","77.72","119.89","153.89","128.61","7148571.43","126.42","143.58","152.79","149.31","155.03","136.42","152.10","189.00","3414847.62","77.72","202.94","4052467.67","52.41","57.77","103.91"
"MTD Change","-0.74","1.00","-0.07","-1.99","0.91","49453.78","-2.68","-2.49","0.29","-0.23","1.80","0.86","-0.48","-0.21","-104751.97","1.00","0.55","-10084.57","2.78","2.11","3.38"
"Aug-24","50.45","77.71","119.80","154.00","124.50","7.16","126.50","143.50","152.75","148.00","155.75","136.30","152.25","189.25","3.43","77.71","204.00","4.05","52.41","57.77","103.90"
"Sep-24","51.25","85.00","125.00","162.00","141.00","7.20","138.00","150.00","151.00","150.00","155.00","140.75","175.00","210.00","3.20","85.00","228.00","4.50","67.00","65.00","120.00"
"Oct-24","60.50","96.00","132.50","174.00","162.00","8.45","142.00","155.00","155.00","160.00","187.50","156.00","190.00","230.00","2.96","96.00","250.00","4.75","73.50","71.00","125.00"
"Nov-24","66.00","107.00","142.50","179.00","180.00","9.15","146.00","166.00","167.00","167.50","244.00","172.00","200.00","235.00","3.04","107.00","260.00","5.00","75.50","72.00","126.00"
"Dec-24","69.00","112.00","157.00","184.00","192.00","9.55","147.00","176.00","185.00","175.00","279.50","186.50","210.00","240.00","3.12","112.00","270.00","5.25","76.00","73.00","128.00"
"Q4-24","65.17","105.00","144.00","179.00","178.00","9.05","145.00","165.67","169.00","167.50","237.00","171.50","200.00","235.00","3.04","105.00","260.00","5.00","75.00","72.00","126.33"
"Q1-25","63.02","99.94","139.06","156.44","172.14","8.75","144.72","163.30","146.46","164.96","227.46","169.08","186.93","206.75","2.62","99.94","249.79","4.65","65.00","66.00","115.00"
"Q2-25","59.34","90.33","120.52","146.43","152.38","8.25","130.72","150.38","135.33","142.96","193.81","156.06","180.05","198.59","2.50","90.33","235.44","3.95","63.50","65.00","113.00"
"Cal25","13.30","92.07","10.50","22.70","33.00","31.44","14.75","24.25","31.10","10.50","15.40","38.25","40.00","37.25","2.56","15.80","28.25","4.15","65.75","67.50","116.50"
"Cal26","12.75","87.41","10.10","22.20","31.30","30.19","14.35","23.75","29.00","10.00","14.20","37.20","39.00","37.00","2.56","15.00","27.45","3.85","63.50","64.00","113.25"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
