source,periodType,date,instrument,period,price
GFI,BITR,2026-08-03,TD3C,2026-08-01,429.44
GFI,BITR,2026-08-03,TD20,2026-08-01,207.5
GFI,BITR,2026-08-03,TD7,2026-08-01,213.33
GFI,BITR,2026-08-03,TD8,2026-08-01,310.67
GFI,BITR,2026-08-03,TD25,2026-08-01,380.56
GFI,BITR,2026-08-03,TD22,2026-08-01,19444444.0
GFI,BITR,2026-08-03,TD19,2026-08-01,243.06
GFI,MTD,2026-08-03,TD3C,2026-08-01,429.44
GFI,MTD,2026-08-03,TD20,2026-08-01,207.5
GFI,MTD,2026-08-03,TD7,2026-08-01,213.33
GFI,MTD,2026-08-03,TD8,2026-08-01,310.67
GFI,MTD,2026-08-03,TD25,2026-08-01,380.56
GFI,MTD,2026-08-03,TD22,2026-08-01,19444444.0
GFI,MTD,2026-08-03,TD19,2026-08-01,243.06
GFI,M,2026-08-03,TD3C,2026-08-01,405.0
GFI,M,2026-08-03,TD20,2026-08-01,13.4
GFI,M,2026-08-03,TD7,2026-08-01,192.0
GFI,M,2026-08-03,TD8,2026-08-01,250.0
GFI,M,2026-08-03,TD25,2026-08-01,123.86
GFI,M,2026-08-03,TD22,2026-08-01,18.0
GFI,M,2026-08-03,TD19,2026-08-01,240.0
GFI,M,2026-08-03,TD3C,2026-09-01,350.0
GFI,M,2026-08-03,TD20,2026-09-01,
GFI,M,2026-08-03,TD7,2026-09-01,170.0
GFI,M,2026-08-03,TD8,2026-09-01,210.0
GFI,M,2026-08-03,TD25,2026-09-01,
GFI,M,2026-08-03,TD22,2026-09-01,16.75
GFI,M,2026-08-03,TD19,2026-09-01,200.0
GFI,M,2026-08-03,TD3C,2026-10-01,295.0
GFI,M,2026-08-03,TD20,2026-10-01,
GFI,M,2026-08-03,TD7,2026-10-01,165.0
GFI,M,2026-08-03,TD8,2026-10-01,190.0
GFI,M,2026-08-03,TD25,2026-10-01,
GFI,M,2026-08-03,TD22,2026-10-01,16.75
GFI,M,2026-08-03,TD19,2026-10-01,165.0
GFI,M,2026-08-03,TD3C,2026-11-01,270.0
GFI,M,2026-08-03,TD20,2026-11-01,
GFI,M,2026-08-03,TD7,2026-11-01,162.0
GFI,M,2026-08-03,TD8,2026-11-01,200.0
GFI,M,2026-08-03,TD25,2026-11-01,
GFI,M,2026-08-03,TD22,2026-11-01,16.5
GFI,M,2026-08-03,TD19,2026-11-01,153.0
GFI,M,2026-08-03,TD3C,2026-12-01,260.0
GFI,M,2026-08-03,TD20,2026-12-01,
GFI,M,2026-08-03,TD7,2026-12-01,159.0
GFI,M,2026-08-03,TD8,2026-12-01,205.0
GFI,M,2026-08-03,TD25,2026-12-01,
GFI,M,2026-08-03,TD22,2026-12-01,16.25
GFI,M,2026-08-03,TD19,2026-12-01,150.0
GFI,Q,2026-08-03,TD3C,2026-10-01,275.0
GFI,Q,2026-08-03,TD20,2026-10-01,14.5
GFI,Q,2026-08-03,TD7,2026-10-01,162.0
GFI,Q,2026-08-03,TD8,2026-10-01,198.33
GFI,Q,2026-08-03,TD25,2026-10-01,137.37
GFI,Q,2026-08-03,TD22,2026-10-01,16.5
GFI,Q,2026-08-03,TD19,2026-10-01,156.0
GFI,Q,2026-08-03,TD3C,2027-01-01,173.18
GFI,Q,2026-08-03,TD20,2027-01-01,82.45
GFI,Q,2026-08-03,TD7,2027-01-01,144.13
GFI,Q,2026-08-03,TD8,2027-01-01,160.83
GFI,Q,2026-08-03,TD25,2027-01-01,238.23
GFI,Q,2026-08-03,TD22,2027-01-01,14.0
GFI,Q,2026-08-03,TD19,2027-01-01,122.51
GFI,Q,2026-08-03,TD3C,2027-04-01,26.0
GFI,Q,2026-08-03,TD20,2027-04-01,78.68
GFI,Q,2026-08-03,TD7,2027-04-01,13.4
GFI,Q,2026-08-03,TD8,2027-04-01,20.5
GFI,Q,2026-08-03,TD25,2027-04-01,27.61
GFI,Q,2026-08-03,TD22,2027-04-01,42.59
GFI,Q,2026-08-03,TD19,2027-04-01,13.25
GFI,A,2026-08-03,TD3C,2027-01-01,25.0
GFI,A,2026-08-03,TD20,2027-01-01,76.8
GFI,A,2026-08-03,TD7,2027-01-01,13.7
GFI,A,2026-08-03,TD8,2027-01-01,20.82
GFI,A,2026-08-03,TD25,2027-01-01,25.47
GFI,A,2026-08-03,TD22,2027-01-01,43.98
GFI,A,2026-08-03,TD19,2027-01-01,14.0
GFI,A,2026-08-03,TD3C,2028-01-01,16.25
GFI,A,2026-08-03,TD20,2028-01-01,66.61
GFI,A,2026-08-03,TD7,2028-01-01,12.7
GFI,A,2026-08-03,TD8,2028-01-01,20.25
GFI,A,2026-08-03,TD25,2028-01-01,23.23
GFI,A,2026-08-03,TD22,2028-01-01,30.37
GFI,A,2026-08-03,TD19,2028-01-01,13.55
GFI,BITR,2026-08-04,TD3C,2026-08-01,429.44
GFI,BITR,2026-08-04,TD20,2026-08-01,176.94
GFI,BITR,2026-08-04,TD7,2026-08-01,212.08
GFI,BITR,2026-08-04,TD8,2026-08-01,315.42
GFI,BITR,2026-08-04,TD25,2026-08-01,369.44
GFI,BITR,2026-08-04,TD22,2026-08-01,19166667.0
GFI,BITR,2026-08-04,TD19,2026-08-01,244.33
GFI,MTD,2026-08-04,TD3C,2026-08-01,429.44
GFI,MTD,2026-08-04,TD20,2026-08-01,192.22
GFI,MTD,2026-08-04,TD7,2026-08-01,212.71
GFI,MTD,2026-08-04,TD8,2026-08-01,313.05
GFI,MTD,2026-08-04,TD25,2026-08-01,375.0
GFI,MTD,2026-08-04,TD22,2026-08-01,19305555.5
GFI,MTD,2026-08-04,TD19,2026-08-01,243.69
GFI,M,2026-08-04,TD3C,2026-08-01,395.0
GFI,M,2026-08-04,TD20,2026-08-01,13.4
GFI,M,2026-08-04,TD7,2026-08-01,192.0
GFI,M,2026-08-04,TD8,2026-08-01,285.0
GFI,M,2026-08-04,TD25,2026-08-01,123.86
GFI,M,2026-08-04,TD22,2026-08-01,18.0
GFI,M,2026-08-04,TD19,2026-08-01,240.0
GFI,M,2026-08-04,TD3C,2026-09-01,347.5
GFI,M,2026-08-04,TD20,2026-09-01,
GFI,M,2026-08-04,TD7,2026-09-01,170.0
GFI,M,2026-08-04,TD8,2026-09-01,235.0
GFI,M,2026-08-04,TD25,2026-09-01,
GFI,M,2026-08-04,TD22,2026-09-01,16.75
GFI,M,2026-08-04,TD19,2026-09-01,200.0
GFI,M,2026-08-04,TD3C,2026-10-01,297.0
GFI,M,2026-08-04,TD20,2026-10-01,
GFI,M,2026-08-04,TD7,2026-10-01,165.0
GFI,M,2026-08-04,TD8,2026-10-01,205.0
GFI,M,2026-08-04,TD25,2026-10-01,
GFI,M,2026-08-04,TD22,2026-10-01,16.75
GFI,M,2026-08-04,TD19,2026-10-01,165.0
GFI,M,2026-08-04,TD3C,2026-11-01,269.0
GFI,M,2026-08-04,TD20,2026-11-01,
GFI,M,2026-08-04,TD7,2026-11-01,162.0
GFI,M,2026-08-04,TD8,2026-11-01,200.0
GFI,M,2026-08-04,TD25,2026-11-01,
GFI,M,2026-08-04,TD22,2026-11-01,16.5
GFI,M,2026-08-04,TD19,2026-11-01,153.0
GFI,M,2026-08-04,TD3C,2026-12-01,259.0
GFI,M,2026-08-04,TD20,2026-12-01,
GFI,M,2026-08-04,TD7,2026-12-01,159.0
GFI,M,2026-08-04,TD8,2026-12-01,195.0
GFI,M,2026-08-04,TD25,2026-12-01,
GFI,M,2026-08-04,TD22,2026-12-01,16.25
GFI,M,2026-08-04,TD19,2026-12-01,150.0
GFI,Q,2026-08-04,TD3C,2026-10-01,275.0
GFI,Q,2026-08-04,TD20,2026-10-01,14.5
GFI,Q,2026-08-04,TD7,2026-10-01,162.0
GFI,Q,2026-08-04,TD8,2026-10-01,200.0
GFI,Q,2026-08-04,TD25,2026-10-01,137.37
GFI,Q,2026-08-04,TD22,2026-10-01,16.5
GFI,Q,2026-08-04,TD19,2026-10-01,156.0
GFI,Q,2026-08-04,TD3C,2027-01-01,176.89
GFI,Q,2026-08-04,TD20,2027-01-01,82.45
GFI,Q,2026-08-04,TD7,2027-01-01,144.13
GFI,Q,2026-08-04,TD8,2027-01-01,160.83
GFI,Q,2026-08-04,TD25,2027-01-01,238.23
GFI,Q,2026-08-04,TD22,2027-01-01,14.0
GFI,Q,2026-08-04,TD19,2027-01-01,122.51
GFI,Q,2026-08-04,TD3C,2027-04-01,26.75
GFI,Q,2026-08-04,TD20,2027-04-01,78.68
GFI,Q,2026-08-04,TD7,2027-04-01,13.4
GFI,Q,2026-08-04,TD8,2027-04-01,20.5
GFI,Q,2026-08-04,TD25,2027-04-01,27.61
GFI,Q,2026-08-04,TD22,2027-04-01,42.59
GFI,Q,2026-08-04,TD19,2027-04-01,13.25
GFI,A,2026-08-04,TD3C,2027-01-01,25.5
GFI,A,2026-08-04,TD20,2027-01-01,76.8
GFI,A,2026-08-04,TD7,2027-01-01,13.7
GFI,A,2026-08-04,TD8,2027-01-01,20.82
GFI,A,2026-08-04,TD25,2027-01-01,25.47
GFI,A,2026-08-04,TD22,2027-01-01,43.98
GFI,A,2026-08-04,TD19,2027-01-01,14.0
GFI,A,2026-08-04,TD3C,2028-01-01,16.25
GFI,A,2026-08-04,TD20,2028-01-01,66.61
GFI,A,2026-08-04,TD7,2028-01-01,12.7
GFI,A,2026-08-04,TD8,2028-01-01,20.25
GFI,A,2026-08-04,TD25,2028-01-01,23.23
GFI,A,2026-08-04,TD22,2028-01-01,30.37
GFI,A,2026-08-04,TD19,2028-01-01,13.55
GFI,BITR,2026-08-05,TD3C,2026-08-01,432.22
GFI,BITR,2026-08-05,TD20,2026-08-01,172.5
GFI,BITR,2026-08-05,TD7,2026-08-01,212.5
GFI,BITR,2026-08-05,TD8,2026-08-01,318.0
GFI,BITR,2026-08-05,TD25,2026-08-01,341.67
GFI,BITR,2026-08-05,TD22,2026-08-01,18938889.0
GFI,BITR,2026-08-05,TD19,2026-08-01,243.72
GFI,MTD,2026-08-05,TD3C,2026-08-01,430.37
GFI,MTD,2026-08-05,TD20,2026-08-01,185.65
GFI,MTD,2026-08-05,TD7,2026-08-01,212.64
GFI,MTD,2026-08-05,TD8,2026-08-01,314.7
GFI,MTD,2026-08-05,TD25,2026-08-01,363.89
GFI,MTD,2026-08-05,TD22,2026-08-01,19183333.33
GFI,MTD,2026-08-05,TD19,2026-08-01,243.7
GFI,M,2026-08-05,TD3C,2026-08-01,395.0
GFI,M,2026-08-05,TD20,2026-08-01,13.4
GFI,M,2026-08-05,TD7,2026-08-01,192.0
GFI,M,2026-08-05,TD8,2026-08-01,295.0
GFI,M,2026-08-05,TD25,2026-08-01,123.86
GFI,M,2026-08-05,TD22,2026-08-01,20.0
GFI,M,2026-08-05,TD19,2026-08-01,240.0
GFI,M,2026-08-05,TD3C,2026-09-01,342.5
GFI,M,2026-08-05,TD20,2026-09-01,
GFI,M,2026-08-05,TD7,2026-09-01,170.0
GFI,M,2026-08-05,TD8,2026-09-01,235.0
GFI,M,2026-08-05,TD25,2026-09-01,
GFI,M,2026-08-05,TD22,2026-09-01,18.75
GFI,M,2026-08-05,TD19,2026-09-01,200.0
GFI,M,2026-08-05,TD3C,2026-10-01,280.0
GFI,M,2026-08-05,TD20,2026-10-01,
GFI,M,2026-08-05,TD7,2026-10-01,165.0
GFI,M,2026-08-05,TD8,2026-10-01,205.0
GFI,M,2026-08-05,TD25,2026-10-01,
GFI,M,2026-08-05,TD22,2026-10-01,18.5
GFI,M,2026-08-05,TD19,2026-10-01,165.0
GFI,M,2026-08-05,TD3C,2026-11-01,271.0
GFI,M,2026-08-05,TD20,2026-11-01,
GFI,M,2026-08-05,TD7,2026-11-01,162.0
GFI,M,2026-08-05,TD8,2026-11-01,200.0
GFI,M,2026-08-05,TD25,2026-11-01,
GFI,M,2026-08-05,TD22,2026-11-01,18.0
GFI,M,2026-08-05,TD19,2026-11-01,153.0
GFI,M,2026-08-05,TD3C,2026-12-01,259.0
GFI,M,2026-08-05,TD20,2026-12-01,
GFI,M,2026-08-05,TD7,2026-12-01,159.0
GFI,M,2026-08-05,TD8,2026-12-01,195.0
GFI,M,2026-08-05,TD25,2026-12-01,
GFI,M,2026-08-05,TD22,2026-12-01,17.5
GFI,M,2026-08-05,TD19,2026-12-01,150.0
GFI,Q,2026-08-05,TD3C,2026-10-01,270.0
GFI,Q,2026-08-05,TD20,2026-10-01,14.5
GFI,Q,2026-08-05,TD7,2026-10-01,162.0
GFI,Q,2026-08-05,TD8,2026-10-01,200.0
GFI,Q,2026-08-05,TD25,2026-10-01,137.37
GFI,Q,2026-08-05,TD22,2026-10-01,18.0
GFI,Q,2026-08-05,TD19,2026-10-01,156.0
GFI,Q,2026-08-05,TD3C,2027-01-01,176.15
GFI,Q,2026-08-05,TD20,2027-01-01,82.45
GFI,Q,2026-08-05,TD7,2027-01-01,144.13
GFI,Q,2026-08-05,TD8,2027-01-01,160.83
GFI,Q,2026-08-05,TD25,2027-01-01,238.23
GFI,Q,2026-08-05,TD22,2027-01-01,16.0
GFI,Q,2026-08-05,TD19,2027-01-01,122.51
GFI,Q,2026-08-05,TD3C,2027-04-01,26.7
GFI,Q,2026-08-05,TD20,2027-04-01,78.68
GFI,Q,2026-08-05,TD7,2027-04-01,13.4
GFI,Q,2026-08-05,TD8,2027-04-01,20.5
GFI,Q,2026-08-05,TD25,2027-04-01,27.61
GFI,Q,2026-08-05,TD22,2027-04-01,50.0
GFI,Q,2026-08-05,TD19,2027-04-01,13.25
GFI,A,2026-08-05,TD3C,2027-01-01,25.4
GFI,A,2026-08-05,TD20,2027-01-01,76.8
GFI,A,2026-08-05,TD7,2027-01-01,13.7
GFI,A,2026-08-05,TD8,2027-01-01,20.82
GFI,A,2026-08-05,TD25,2027-01-01,25.47
GFI,A,2026-08-05,TD22,2027-01-01,51.39
GFI,A,2026-08-05,TD19,2027-01-01,14.0
GFI,A,2026-08-05,TD3C,2028-01-01,16.25
GFI,A,2026-08-05,TD20,2028-01-01,66.61
GFI,A,2026-08-05,TD7,2028-01-01,12.7
GFI,A,2026-08-05,TD8,2028-01-01,20.25
GFI,A,2026-08-05,TD25,2028-01-01,23.23
GFI,A,2026-08-05,TD22,2028-01-01,35.19
GFI,A,2026-08-05,TD19,2028-01-01,13.55
GFI,BITR,2026-08-06,TD3C,2026-08-01,475.56
GFI,BITR,2026-08-06,TD20,2026-08-01,172.22
GFI,BITR,2026-08-06,TD7,2026-08-01,212.92
GFI,BITR,2026-08-06,TD8,2026-08-01,319.58
GFI,BITR,2026-08-06,TD25,2026-08-01,306.67
GFI,BITR,2026-08-06,TD22,2026-08-01,18766667.0
GFI,BITR,2026-08-06,TD19,2026-08-01,241.89
GFI,MTD,2026-08-06,TD3C,2026-08-01,441.67
GFI,MTD,2026-08-06,TD20,2026-08-01,182.29
GFI,MTD,2026-08-06,TD7,2026-08-01,212.71
GFI,MTD,2026-08-06,TD8,2026-08-01,315.92
GFI,MTD,2026-08-06,TD25,2026-08-01,349.58
GFI,MTD,2026-08-06,TD22,2026-08-01,19079166.75
GFI,MTD,2026-08-06,TD19,2026-08-01,243.25
GFI,M,2026-08-06,TD3C,2026-08-01,430.0
GFI,M,2026-08-06,TD20,2026-08-01,13.4
GFI,M,2026-08-06,TD7,2026-08-01,200.0
GFI,M,2026-08-06,TD8,2026-08-01,415.0
GFI,M,2026-08-06,TD25,2026-08-01,123.86
GFI,M,2026-08-06,TD22,2026-08-01,20.0
GFI,M,2026-08-06,TD19,2026-08-01,240.0
GFI,M,2026-08-06,TD3C,2026-09-01,370.0
GFI,M,2026-08-06,TD20,2026-09-01,
GFI,M,2026-08-06,TD7,2026-09-01,175.0
GFI,M,2026-08-06,TD8,2026-09-01,350.0
GFI,M,2026-08-06,TD25,2026-09-01,
GFI,M,2026-08-06,TD22,2026-09-01,18.75
GFI,M,2026-08-06,TD19,2026-09-01,200.0
GFI,M,2026-08-06,TD3C,2026-10-01,293.0
GFI,M,2026-08-06,TD20,2026-10-01,
GFI,M,2026-08-06,TD7,2026-10-01,165.0
GFI,M,2026-08-06,TD8,2026-10-01,280.0
GFI,M,2026-08-06,TD25,2026-10-01,
GFI,M,2026-08-06,TD22,2026-10-01,18.5
GFI,M,2026-08-06,TD19,2026-10-01,165.0
GFI,M,2026-08-06,TD3C,2026-11-01,280.0
GFI,M,2026-08-06,TD20,2026-11-01,
GFI,M,2026-08-06,TD7,2026-11-01,162.0
GFI,M,2026-08-06,TD8,2026-11-01,260.0
GFI,M,2026-08-06,TD25,2026-11-01,
GFI,M,2026-08-06,TD22,2026-11-01,18.0
GFI,M,2026-08-06,TD19,2026-11-01,153.0
GFI,M,2026-08-06,TD3C,2026-12-01,267.0
GFI,M,2026-08-06,TD20,2026-12-01,
GFI,M,2026-08-06,TD7,2026-12-01,159.0
GFI,M,2026-08-06,TD8,2026-12-01,240.0
GFI,M,2026-08-06,TD25,2026-12-01,
GFI,M,2026-08-06,TD22,2026-12-01,17.5
GFI,M,2026-08-06,TD19,2026-12-01,150.0
GFI,Q,2026-08-06,TD3C,2026-10-01,280.0
GFI,Q,2026-08-06,TD20,2026-10-01,14.5
GFI,Q,2026-08-06,TD7,2026-10-01,162.0
GFI,Q,2026-08-06,TD8,2026-10-01,260.0
GFI,Q,2026-08-06,TD25,2026-10-01,137.37
GFI,Q,2026-08-06,TD22,2026-10-01,18.0
GFI,Q,2026-08-06,TD19,2026-10-01,156.0
GFI,Q,2026-08-06,TD3C,2027-01-01,179.61
GFI,Q,2026-08-06,TD20,2027-01-01,82.45
GFI,Q,2026-08-06,TD7,2027-01-01,144.13
GFI,Q,2026-08-06,TD8,2027-01-01,160.83
GFI,Q,2026-08-06,TD25,2027-01-01,238.23
GFI,Q,2026-08-06,TD22,2027-01-01,16.0
GFI,Q,2026-08-06,TD19,2027-01-01,122.51
GFI,Q,2026-08-06,TD3C,2027-04-01,27.5
GFI,Q,2026-08-06,TD20,2027-04-01,78.68
GFI,Q,2026-08-06,TD7,2027-04-01,13.4
GFI,Q,2026-08-06,TD8,2027-04-01,20.5
GFI,Q,2026-08-06,TD25,2027-04-01,27.61
GFI,Q,2026-08-06,TD22,2027-04-01,50.0
GFI,Q,2026-08-06,TD19,2027-04-01,13.25
GFI,A,2026-08-06,TD3C,2027-01-01,25.95
GFI,A,2026-08-06,TD20,2027-01-01,76.8
GFI,A,2026-08-06,TD7,2027-01-01,13.7
GFI,A,2026-08-06,TD8,2027-01-01,20.82
GFI,A,2026-08-06,TD25,2027-01-01,25.47
GFI,A,2026-08-06,TD22,2027-01-01,51.39
GFI,A,2026-08-06,TD19,2027-01-01,14.0
GFI,A,2026-08-06,TD3C,2028-01-01,16.35
GFI,A,2026-08-06,TD20,2028-01-01,66.61
GFI,A,2026-08-06,TD7,2028-01-01,12.7
GFI,A,2026-08-06,TD8,2028-01-01,20.25
GFI,A,2026-08-06,TD25,2028-01-01,23.23
GFI,A,2026-08-06,TD22,2028-01-01,35.19
GFI,A,2026-08-06,TD19,2028-01-01,13.55
GFI,BITR,2026-08-07,TD3C,2026-08-01,490.0
GFI,BITR,2026-08-07,TD20,2026-08-01,177.5
GFI,BITR,2026-08-07,TD7,2026-08-01,212.92
GFI,BITR,2026-08-07,TD8,2026-08-01,325.0
GFI,BITR,2026-08-07,TD25,2026-08-01,312.22
GFI,BITR,2026-08-07,TD22,2026-08-01,18688889.0
GFI,BITR,2026-08-07,TD19,2026-08-01,240.56
GFI,MTD,2026-08-07,TD3C,2026-08-01,451.33
GFI,MTD,2026-08-07,TD20,2026-08-01,181.33
GFI,MTD,2026-08-07,TD7,2026-08-01,212.75
GFI,MTD,2026-08-07,TD8,2026-08-01,329.88
GFI,MTD,2026-08-07,TD25,2026-08-01,342.11
