source,periodType,date,instrument,period,price
GFI,MTD,2026-05-08,TD22,2026-05-01,16508066.60
GFI,MTD,2026-05-08,TD19,2026-05-01,270.35
GFI,M,2026-05-08,TD3C,2026-05-01,460.00
GFI,M,2026-05-08,TD20,2026-05-01,15.59
GFI,M,2026-05-08,TD7,2026-05-01,230.00
GFI,M,2026-05-08,TD8,2026-05-01,380.00
GFI,M,2026-05-08,TD25,2026-05-01,145.55
GFI,M,2026-05-08,TD22,2026-05-01,17.00
GFI,M,2026-05-08,TD19,2026-05-01,275.00
GFI,M,2026-05-08,TD3C,2026-06-01,400.00
GFI,M,2026-05-08,TD20,2026-06-01,15.19
GFI,M,2026-05-08,TD7,2026-06-01,210.00
GFI,M,2026-05-08,TD8,2026-06-01,280.00
GFI,M,2026-05-08,TD25,2026-06-01,145.55
GFI,M,2026-05-08,TD22,2026-06-01,15.50
GFI,M,2026-05-08,TD19,2026-06-01,190.00
GFI,M,2026-05-08,TD3C,2026-07-01,310.00
GFI,M,2026-05-08,TD20,2026-07-01,13.40
GFI,M,2026-05-08,TD7,2026-07-01,170.00
GFI,M,2026-05-08,TD8,2026-07-01,202.00
GFI,M,2026-05-08,TD25,2026-07-01,123.86
GFI,M,2026-05-08,TD22,2026-07-01,13.50
GFI,M,2026-05-08,TD19,2026-07-01,150.00
GFI,M,2026-05-08,TD3C,2026-08-01,224.50
GFI,M,2026-05-08,TD20,2026-08-01,13.40
GFI,M,2026-05-08,TD7,2026-08-01,165.00
GFI,M,2026-05-08,TD8,2026-08-01,177.00
GFI,M,2026-05-08,TD25,2026-08-01,123.86
GFI,M,2026-05-08,TD22,2026-08-01,12.75
GFI,M,2026-05-08,TD19,2026-08-01,135.00
GFI,M,2026-05-08,TD3C,2026-09-01,167.50
GFI,M,2026-05-08,TD20,2026-09-01,
GFI,M,2026-05-08,TD7,2026-09-01,160.00
GFI,M,2026-05-08,TD8,2026-09-01,177.00
GFI,M,2026-05-08,TD25,2026-09-01,
GFI,M,2026-05-08,TD22,2026-09-01,12.00
GFI,M,2026-05-08,TD19,2026-09-01,135.00
GFI,Q,2026-05-08,TD3C,2026-07-01,234.00
GFI,Q,2026-05-08,TD20,2026-07-01,13.40
GFI,Q,2026-05-08,TD7,2026-07-01,165.00
GFI,Q,2026-05-08,TD8,2026-07-01,185.33
GFI,Q,2026-05-08,TD25,2026-07-01,123.86
GFI,Q,2026-05-08,TD22,2026-07-01,12.75
GFI,Q,2026-05-08,TD19,2026-07-01,140.00
GFI,Q,2026-05-08,TD3C,2026-10-01,200.00
GFI,Q,2026-05-08,TD20,2026-10-01,14.50
GFI,Q,2026-05-08,TD7,2026-10-01,170.00
GFI,Q,2026-05-08,TD8,2026-10-01,198.33
GFI,Q,2026-05-08,TD25,2026-10-01,137.37
GFI,Q,2026-05-08,TD22,2026-10-01,13.50
GFI,Q,2026-05-08,TD19,2026-10-01,143.33
GFI,Q,2026-05-08,TD3C,2027-01-01,29.00
GFI,Q,2026-05-08,TD20,2027-01-01,82.45
GFI,Q,2026-05-08,TD7,2027-01-01,14.00
GFI,Q,2026-05-08,TD8,2027-01-01,22.50
GFI,Q,2026-05-08,TD25,2027-01-01,48.91
GFI,Q,2026-05-08,TD22,2027-01-01,44.44
GFI,Q,2026-05-08,TD19,2027-01-01,14.75
GFI,A,2026-05-08,TD3C,2027-01-01,20.50
GFI,A,2026-05-08,TD20,2027-01-01,76.80
GFI,A,2026-05-08,TD7,2027-01-01,13.45
GFI,A,2026-05-08,TD8,2027-01-01,20.82
